title,brand,list_price,price,stock,url,category,branch_id
Sandwichera Peabody 680W PE-S6191,PEABODY,None,18599.0,In Stock,https://www.hiperlibertad.com.ar/sandwichera-peabody-680w-pe-s6191/p,Pequeños_electrodomésticos,12
POCHOCLERA ULTRACOMB PO2700 1200W,Ultracomb,None,24999.0,In Stock,https://www.hiperlibertad.com.ar/pochoclera-ultracomb-po2700-1200w/p,Pequeños_electrodomésticos,12
Sandwichera Daewoo 640W,DAEWOO,25148.0,20118.4,In Stock,https://www.hiperlibertad.com.ar/sandwichera-daewoo-640w-8316/p,Pequeños_electrodomésticos,12
MIXER PHILIPS HR2626/80 600 W,Philips,77999.0,62399.2,In Stock,https://www.hiperlibertad.com.ar/mixer-philips-hr2626-80-600-w/p,Pequeños_electrodomésticos,12
Exprimidor de cítricos Exprimix 100W AE930,LILIANA,None,26999.0,In Stock,https://www.hiperlibertad.com.ar/exprimidor-de-citricos-exprimix-100w-ae930/p,Pequeños_electrodomésticos,12
Mixer Phillips HT2625 600 W,Philips,65999.0,52799.2,In Stock,https://www.hiperlibertad.com.ar/mixer-phillips-ht2625-600-w/p,Pequeños_electrodomésticos,12
Balanza de cocina digital Daewoo 7250,None,None,14390.0,In Stock,https://www.hiperlibertad.com.ar/balanza-de-cocina-digital-daewoo-7250/p,Pequeños_electrodomésticos,12
Cafetera de filtro Daewoo 6316,DAEWOO,34490.0,26079.2,In Stock,https://www.hiperlibertad.com.ar/cafetera-de-filtro-daewoo-6316/p,Pequeños_electrodomésticos,12
ESPUMADOR DE LECHE PEABODY PE-MF2316 NEGRO,PEABODY,56999.0,45599.2,In Stock,https://www.hiperlibertad.com.ar/espumador-de-leche-peabody-pe-mf2316-negro/p,Pequeños_electrodomésticos,12
Batidora de pie Liliana 800W AB910,LILIANA,None,112999.0,In Stock,https://www.hiperlibertad.com.ar/batidora-de-pie-liliana-800w-ab910/p,Pequeños_electrodomésticos,12
EXPRIMIDOR MOULINEX VITAPRESS BLANCO Y ROJO PC3021AR,Moulinex,None,17299.0,In Stock,https://www.hiperlibertad.com.ar/exprimidor-moulinex-vitapress-blanco-y-rojo-pc3021ar/p,Pequeños_electrodomésticos,12
FREIDORA ELECTRICA DAEWOO DF5120 1800W 3 Lts,DAEWOO,79290.0,59439.2,In Stock,https://www.hiperlibertad.com.ar/freidora-electrica-daewoo-df5120-1800w-3-lts/p,Pequeños_electrodomésticos,12
POCHOCLERA ULTRACOMB PO-2702 850W,Ultracomb,None,64999.0,In Stock,https://www.hiperlibertad.com.ar/pochoclera-ultracomb-po-2702-850w/p,Pequeños_electrodomésticos,12
TOSTADORA ULTRACOMB TO4005 750W ROJA,Ultracomb,None,19999.0,In Stock,https://www.hiperlibertad.com.ar/tostadora-ultracomb-to4005-750w-roja/p,Pequeños_electrodomésticos,12
Freidora Yelmo FR7300 1200W 900ml,Yelmo,None,42999.0,In Stock,https://www.hiperlibertad.com.ar/freidora-yelmo-fr7300-1200w-900ml/p,Pequeños_electrodomésticos,12
Exprimidor de cítricos Daewoo 30W CM7616,DAEWOO,None,19990.0,In Stock,https://www.hiperlibertad.com.ar/exprimidor-de-citricos-daewoo-30w-cm7616/p,Pequeños_electrodomésticos,12
Batidora con bowl Liliana turbobat 700W AB914N,LILIANA,None,98310.0,In Stock,https://www.hiperlibertad.com.ar/batidora-con-bowl-liliana-turbobat-700w-ab914n/p,Pequeños_electrodomésticos,12
Tostadora Daewoo TO8221W Blanco,DAEWOO,52900.0,42320.0,In Stock,https://www.hiperlibertad.com.ar/tostadora-daewoo-to8221w-blanco/p,Pequeños_electrodomésticos,12
"PAVA ELECTRICA DAEWOO 1,7 LTS WK5416",DAEWOO,34599.0,27679.2,In Stock,https://www.hiperlibertad.com.ar/pava-eletrica-daewoo-1-7-lts-wk5416/p,Pequeños_electrodomésticos,12
PAVA ELECTRICA PHILIPS HD9368/00 BLANCA,Philips,47999.0,38399.2,In Stock,https://www.hiperlibertad.com.ar/pava-electrica-philips-hd9368-00-blanca/p,Pequeños_electrodomésticos,12
Balanza de cocina mecánica Aspen KCI,Aspen,None,19799.0,In Stock,https://www.hiperlibertad.com.ar/balanza-de-cocina-mecanica-aspen-kci/p,Pequeños_electrodomésticos,12
EXPRIMIDOR BLACK & DECKER D CJ650-AR,BLACK & DECKER,None,18999.0,In Stock,https://www.hiperlibertad.com.ar/exprimidor-de-citricos-black-decker-20w-cj650-ar/p,Pequeños_electrodomésticos,12
