title,brand,list_price,price,stock,url,branch_id,category,subcategory
"Secarropas Drean QV 0200382 5,5 kg",Drean,129807.0,90864.9,In Stock,https://www.hiperlibertad.com.ar/secarropas-drean-qv-0200382-5-5-kg/p,12,electrodomesticos,lavado
LAVARROPAS SEMIAUTOMATICO PATRICK 7 KG LTPK79SB,PATRICK,185583.0,139187.25,In Stock,https://www.hiperlibertad.com.ar/lavarropas-semiautomatico-patrick-7-kg-ltpk79sb/p,12,electrodomesticos,lavado
Lavarropas Carga Frontal Drean 7Kg 900 RPM Next 7.09 ECO Blanco,Drean,579711.0,434783.25,In Stock,https://www.hiperlibertad.com.ar/lavarropas-carga-frontal-drean-7kg-900-rpm-next-7-09-eco-blanco/p,12,electrodomesticos,lavado
Secarropas Columbia Hts5504 Carga Superior 5.5kg Verde Oliva,Columbia,111089.0,67617.9,In Stock,https://www.hiperlibertad.com.ar/secarropas-columbia-hts5504-carga-superior-5-5kg-verde-oliva/p,12,electrodomesticos,lavado
Lavavajillas Drean 15 cubiertos 3 cestos 15.2 DTB,Drean,None,None,Out of stock,https://www.hiperlibertad.com.ar/lavavajillas-drean-15-cubiertos-3-cestos-15-2-dtb/p,12,electrodomesticos,lavado
Lavarropas Carga Frontal 7 Kg Blanco Drean - NEXT 7.10 ECO,Drean,595839.0,446879.25,In Stock,https://www.hiperlibertad.com.ar/lavarropas-drean-carga-frontal-eco-7-kg-1000-rpm/p,12,electrodomesticos,lavado
LAVARROPAS SEMIAUTOMATICO PATRICK 6 KG LTPK67SB,PATRICK,144479.0,108359.25,In Stock,https://www.hiperlibertad.com.ar/lavarropas-semiautomatico-patrick-6-kg-ltpk67sb/p,12,electrodomesticos,lavado
"Secarropas Koh-i-noor 6,5 kg B-665/2",Koh-i-noor,173575.0,105654.5,In Stock,https://www.hiperlibertad.com.ar/secarropas-koh-i-noor-6-5-kg-b-665-2/p,12,electrodomesticos,lavado
Lavarropas Drean carga superior fuzzy logic 5 kg 500 RPM,Drean,382255.0,286691.25,In Stock,https://www.hiperlibertad.com.ar/lavarropas-drean-carga-superior-fuzzy-logic-5-kg-500-rpm/p,12,electrodomesticos,lavado
LAVARROPAS SEMIAUTOMATICO PATRICK 5 KG LRPK56SB,PATRICK,118719.0,89039.25,In Stock,https://www.hiperlibertad.com.ar/lavarropas-semiautomatico-patrick-5-kg-lrpk56sb/p,12,electrodomesticos,lavado
"Secarropas Drean QV 5.5 6,5 kg",Drean,136527.0,95568.9,In Stock,https://www.hiperlibertad.com.ar/secarropas-drean-qv-5-5-6-5-kg/p,12,electrodomesticos,lavado
Lavarropas Drean carga frontal inverter eco 10 kg 1200 RPM,Drean,None,734047.0,In Stock,https://www.hiperlibertad.com.ar/lavarropas-drean-carga-frontal-inverter-eco-10-kg-1200-rpm/p,12,electrodomesticos,lavado
Lavarropas Drean Carga Superior 6 Kg 1000 RPM Gold 10.6 Eco,Drean,739871.0,554903.25,In Stock,https://www.hiperlibertad.com.ar/lavarropas-drean-carga-superior-6-kg-1000-rpm-gold-10-6-eco/p,12,electrodomesticos,lavado
"SECARROPAS KOHINOOR C755 5,5 KG",Koh-i-noor,152749.0,92977.5,In Stock,https://www.hiperlibertad.com.ar/secarropas-kohinoor-c755-5-5-kg/p,12,electrodomesticos,lavado
